Wall time,Step,Value
169.80579662322998,0,18.637126922607422
327.67668056488037,1,52.41410446166992
485.44650530815125,2,84.87789916992188
643.1150450706482,3,87.03604888916016
800.7566406726837,4,87.61210632324219
958.3415429592133,5,88.07212829589844
1115.8137292861938,6,88.36971282958984
1273.3432910442352,7,88.65228271484375
1430.9299550056458,8,88.7833251953125
1588.329705953598,9,88.89935302734375
1745.6995742321014,10,89.08909606933594
1903.07173204422,11,88.9539566040039
2060.290586948395,12,89.22696685791016
2217.611473798752,13,89.39350128173828
2374.969276189804,14,89.28703308105469
2532.31485915184,15,89.29931640625
2689.461542367935,16,89.5313720703125
2846.6963691711426,17,89.28703308105469
3003.817727804184,18,89.45903015136719
3160.8450124263763,19,89.54502868652344
3317.9628570079803,20,89.58052062988281
3475.3736407756805,21,89.63511657714844
3632.4649930000305,22,89.60508728027344
3789.5052602291107,23,89.51363372802734
3946.430458545685,24,89.58324432373047
4103.691500425339,25,89.73750305175781
4261.308348417282,26,89.5969009399414
4419.037576675415,27,89.62419891357422
4576.789212465286,28,89.74978637695312
4734.566853761673,29,89.67607116699219
4892.273661851883,30,89.77435302734375
5050.276361703873,31,89.74568939208984
5207.873775482178,32,89.77571868896484
5365.603476047516,33,89.72521209716797
5523.41944694519,34,89.80575561523438
5681.166799545288,35,89.71156311035156
5838.879265785217,36,89.86991119384766
5996.520298480988,37,89.78937530517578
6154.254147529602,38,89.85489654541016
6311.965203285217,39,89.9709243774414
6469.649930238724,40,89.77571868896484
6627.552221059799,41,89.93406677246094
6784.049872875214,42,89.7688980102539
6939.658066034317,43,89.90813446044922
7095.3139708042145,44,89.83715057373047
7251.051642417908,45,89.84260559082031
7406.664713382721,46,89.89857482910156
7562.40459895134,47,89.92178344726562
7717.9826555252075,48,89.92860412597656
7873.537722349167,49,89.88902282714844
8029.122183799744,50,93.67159271240234
8185.089284658432,51,94.54932403564453
8340.655259847641,52,94.78275299072266
8496.492426872253,53,95.00662231445312
8652.215971708298,54,95.14859008789062
8807.881408929825,55,95.1827163696289
8963.46893286705,56,95.34105682373047
9119.063379526138,57,95.28236389160156
9274.547952651978,58,95.29874420166016
9430.097059488297,59,95.17588806152344
9585.634087324142,60,95.19226837158203
9741.452460289001,61,95.31375885009766
9897.12739109993,62,95.23867797851562
10052.624255180359,63,95.14585876464844
10208.13276052475,64,95.1827163696289
10363.579174518585,65,95.07487487792969
10519.117290735245,66,95.2127456665039
10674.73834824562,67,95.17179107666016
10830.305212974548,68,95.19090270996094
10985.7971098423,69,95.25369262695312
11141.263565778732,70,95.12265014648438
11296.958558797836,71,95.19636535644531
11452.431170225143,72,95.14994812011719
11607.962817668915,73,95.14994812011719
11763.392320394516,74,95.23185729980469
11918.840023040771,75,95.20591735839844
12074.350580215454,76,95.28099822998047
12229.788578987122,77,95.274169921875
12385.2988011837,78,95.4024887084961
12540.743638515472,79,95.2154769897461
12696.237285137177,80,95.34242248535156
12851.84805727005,81,95.26871490478516
13007.117781877518,82,95.31239318847656
13162.737653493881,83,95.30010986328125
13318.106637716293,84,95.39020538330078
13473.682626724243,85,95.40930938720703
13629.292059659958,86,95.47892761230469
13785.144536733627,87,95.46391296386719
13940.916725635529,88,95.45709228515625
14097.13150215149,89,95.42296600341797
14253.920936584473,90,95.39292907714844
14411.959814310074,91,95.43524932861328
14568.632959365845,92,95.48439025878906
14725.400141239166,93,95.42705535888672
14883.091861724854,94,95.4325180053711
15039.930587053299,95,95.54581451416016
15196.576915025711,96,95.52397918701172
15353.508860588074,97,95.51578521728516
15510.123313903809,98,95.41204071044922
15666.631891727448,99,95.47074127197266
