Wall time,Step,Value
212.3972008228302,0,18.499256134033203
420.662709236145,1,51.6046257019043
628.8842828273773,2,84.11756134033203
837.1202034950256,3,86.5309829711914
1045.7107887268066,4,87.35957336425781
1253.955037355423,5,88.11717987060547
1462.2320864200592,6,88.34786987304688
1670.5025305747986,7,88.74919891357422
1879.0087296962738,8,88.79833984375
2087.297871351242,9,89.08773040771484
2295.9896142482758,10,88.9566879272461
2504.2795588970184,11,89.43718719482422
2712.724096775055,12,89.29521942138672
2920.9986577033997,13,89.2843017578125
3129.4705941677094,14,89.35801696777344
3337.6443207263947,15,89.4426498413086
3545.899199485779,16,89.55867767333984
3754.1389989852905,17,89.53410339355469
3962.4107666015625,18,89.62419891357422
4170.721111536026,19,89.64740753173828
4379.01296710968,20,89.66242218017578
4587.280779361725,21,89.77298736572266
4795.494084358215,22,89.72111511230469
5003.77191734314,23,89.957275390625
5212.027033567429,24,89.89311981201172
5420.319187164307,25,89.69381713867188
5628.600910186768,26,89.83578491210938
5836.874442815781,27,89.81940460205078
6045.130678653717,28,89.88765716552734
6253.689117193222,29,89.7552490234375
6461.89168548584,30,89.93952941894531
6670.03435754776,31,89.79756164550781
6878.133992195129,32,90.0487289428711
7086.202042102814,33,89.8139419555664
7294.284074544907,34,89.82622528076172
7502.363874673843,35,89.89994049072266
7710.453201055527,36,89.95454406738281
7920.799117803574,37,89.86444854736328
8360.518644571304,38,89.96000671386719
8805.113795280457,39,89.82485961914062
9249.371993780136,40,89.99549865722656
9694.123358488083,41,89.91632080078125
10138.377120733261,42,89.89038848876953
10583.448433160782,43,90.03644561767578
11027.69794869423,44,89.95181274414062
11472.518687725067,45,89.94635009765625
11917.433090209961,46,89.89311981201172
12361.637543916702,47,90.05419158935547
12806.686701536179,48,90.0036849975586
13250.981774806976,49,89.88765716552734
13696.012245178223,50,94.01285552978516
14140.37958574295,51,94.89741516113281
14585.351234197617,52,95.0735092163086
15030.362838029861,53,95.33423614501953
15474.616764068604,54,95.4161376953125
15919.683008670807,55,95.49803924560547
16364.003005981445,56,95.58267211914062
16808.944215774536,57,95.67959594726562
17253.15466952324,58,95.55127716064453
17698.23516893387,59,95.60041809082031
18142.870698213577,60,95.54581451416016
18587.481925725937,61,95.5417251586914
19032.516840457916,62,95.5867691040039
19476.73947930336,63,95.39292907714844
19921.73232460022,64,95.48848724365234
20365.97753381729,65,95.55127716064453
20811.015156507492,66,95.5417251586914
21255.221033096313,67,95.51715087890625
21700.294861078262,68,95.59223175048828
22145.40685749054,69,95.6331787109375
22589.712554216385,70,95.58540344238281
23034.853218317032,71,95.60588073730469
23479.106375694275,72,95.75194549560547
23924.160823583603,73,95.68778228759766
24368.41574215889,74,95.65365600585938
24813.285096883774,75,95.6181640625
25258.226067066193,76,95.73419952392578
25702.610102653503,77,95.65502166748047
26147.688438892365,78,95.8215560913086
26592.034006118774,79,95.8884506225586
27037.08104133606,80,95.85295867919922
27481.458178520203,81,95.78197479248047
27926.5008354187,82,95.78060913085938
28370.846551179886,83,95.82019805908203
28815.744000673294,84,95.7614974975586
29260.72821044922,85,95.82428741455078
29704.971949100494,86,95.86387634277344
30149.926463127136,87,95.82975006103516
30594.133729934692,88,95.9184799194336
31039.11671447754,89,95.94441223144531
31483.36345267296,90,95.9184799194336
31928.387678146362,91,96.04133605957031
32373.3777012825,92,96.02495574951172
32817.649707078934,93,95.93486022949219
33262.74102687836,94,95.9771728515625
33707.102665662766,95,95.97581481933594
34152.217200279236,96,95.95397186279297
34596.5794570446,97,96.06590270996094
35041.66132736206,98,96.05908203125
35486.42236495018,99,96.11095428466797
